"elevation","soil_type","Contrast","cv","Entropy","std","bio15","bio19","longitude","latitude","response","fold","bio1","bio12"
431.180511474609,11910,129707.8671875,470.971160888672,26249.48828125,310.979339599609,106.92253112793,13,127.667,45.4,1,1,2.56240153312683,598.319396972656
297.664855957031,11406.1337890625,389363.125,1025.96374511719,29409.763671875,529.974853515625,106.611328125,14.8399887084961,127.367,45.3,1,1,3.20599985122681,575.280090332031
266.139282226562,11407,255145.65625,710.163818359375,29141.189453125,399.096343994141,112.315246582031,11,125.467,49.4,1,1,-0.035110492259264,497.440032958984
291.505828857422,11112.146484375,405023.8125,888.950744628906,30072.501953125,468.980804443359,115.853080749512,8,125.25,49.083,1,1,0.573761701583862,493.720092773438
288.531311035156,11112,337609.09375,782.15185546875,27553.43359375,450.072723388672,115.7900390625,8,125.267,49.1,1,1,0.582835376262665,492.999938964844
286.856384277344,11909,666386.875,1173.86291503906,29511.77734375,646.924194335938,115.18318939209,9.20013332366943,125.35,49.167,1,1,0.431905180215836,497.000061035156
205.522903442383,11805.0068359375,43827.23828125,350.013153076172,26938.6640625,180.001937866211,55.1499176025391,167.799957275391,120.215906086464,27.1974140384504,0,2,17.4799709320068,1578.28039550781
1666.74743652344,3663,109823.2734375,570.993713378906,27163.853515625,279.995147705078,113.710639953613,43.3597717285156,85.9553547125046,27.5367925811119,0,3,13.4580783843994,1851.00280761719
1813.32116699219,26398,105653.8515625,630.1435546875,29001.916015625,269.052886962891,108.538604736328,12,108.871796669269,48.7637045620603,0,2,-4.4444432258606,418.039764404297
322.023223876953,4465,37721.41796875,230.056625366211,25874.966796875,158.035980224609,60.032600402832,373.928344726562,121.305728139621,18.1139526985219,0,2,25.3956985473633,2326.7841796875
1950.35119628906,13675,329633.9375,1136.91296386719,29323.587890625,548.961303710938,52.4105949401855,34.3998718261719,84.7792633004342,46.8897524168244,0,3,-1.71735179424286,390.479949951172
158.015670776367,11785.9990234375,23371.416015625,245.023071289062,21541.28515625,132.012130737305,68.0547790527344,149.799987792969,110.774606701073,23.0931161171824,0,2,21.4947395324707,1590.19970703125
71.8594131469727,11515,579618.5625,1133.85314941406,28792.9921875,581.931457519531,97.4622802734375,17.0000305175781,114.103101320691,35.314196333397,0,1,14.2758321762085,564.000122070312
1357.85388183594,3663,107307.390625,590.999267578125,26496.12890625,287.000305175781,117.589683532715,90.7999114990234,82.1190679029925,28.4552060567841,0,3,17.9078960418701,1812.44006347656
1136.06091308594,11353,0,145.005737304688,0,8.00016689300537,102.053977966309,2,84.5971204428072,38.7782235493296,0,3,11.5303249359131,29.7999897003174
1250.1787109375,17961,3882.05444335938,302.077392578125,11443.9521484375,20.0059700012207,102.29515838623,8,92.7549850181954,49.3757137262059,0,3,-0.910993218421936,138.719787597656
142.396896362305,11425,273458.1875,1361.86083984375,27136.0703125,419.953796386719,121.499061584473,5,123.059262910365,45.2536506179901,0,1,5.81680011749268,422.799926757812
691.307067871094,18012,9484.9873046875,315.000061035156,16333.5947265625,77.0010681152344,109.675903320312,7,116.807066393551,47.0155642661693,0,1,0.669441998004913,218.839981079102
60.9687347412109,3650,84142.515625,557.980102539062,25872.146484375,256.989532470703,89.2758483886719,27.9999771118164,92.4578024906048,26.3974993066723,0,3,24.3735656738281,1609.99938964844
660.937316894531,7482,36904.90234375,481.995697021484,25368.001953125,148.001449584961,120.947311401367,7,117.939166978353,49.7686849216001,0,1,-0.487835973501205,312.999908447266
